gen,replicates,param_types,Fitness,Deviation,Square,Hamming,R,LCS,KT
10,p_run1,p1,1606.0,0.5655270655270656,0.38909046927914853,1.0,0.9615384615384616,0.7692307692307693,0.4259796806966618
10,p_run1,p1,1009.0,0.556980056980057,0.3911062731817449,0.9811320754716981,0.9807692307692307,0.75,0.4288824383164006
10,p_run1,p1,1563.0,0.7250712250712251,0.5688195452346396,1.0,0.9807692307692307,0.8076923076923077,0.5428156748911466
10,p_run1,p1,1550.0,0.6068376068376069,0.43150298338977583,1.0,0.9807692307692307,0.7692307692307693,0.45355587808417996
10,p_run1,p1,1421.0,0.5612535612535613,0.41553781648121274,0.9811320754716981,0.9615384615384616,0.75,0.4455732946298984
10,p_run1,p1,1397.0,0.566951566951567,0.3929204966940816,0.9811320754716981,0.9615384615384616,0.75,0.43033381712626995
10,p_run1,p1,1386.0,0.660968660968661,0.49604902435091114,0.9622641509433962,0.9423076923076923,0.75,0.4985486211901306
10,p_run1,p1,1377.0,0.5797720797720798,0.38183357522980166,0.9811320754716981,1.0,0.8076923076923077,0.42525399129172714
10,p_run1,p1,1163.0,0.5527065527065528,0.3966698919529108,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.4361393323657475
11,p_run1,p1,1896.0,0.6680911680911681,0.49383164005805513,1.0,0.9807692307692307,0.7884615384615384,0.49201741654571846
11,p_run1,p1,1010.0,0.5527065527065528,0.37989840348330917,0.9811320754716981,0.9807692307692307,0.75,0.4223512336719884
11,p_run1,p1,1010.0,0.5498575498575499,0.383284954039671,0.9811320754716981,0.9615384615384616,0.7307692307692307,0.42452830188679247
11,p_run1,p1,1010.0,0.556980056980057,0.3851798097081116,0.9811320754716981,0.9807692307692307,0.7307692307692307,0.4288824383164006
11,p_run1,p1,1010.0,0.5512820512820513,0.3844944363812288,0.9811320754716981,0.9615384615384616,0.7307692307692307,0.42525399129172714
11,p_run1,p1,1010.0,0.6082621082621082,0.4602886631188518,0.9811320754716981,0.9807692307692307,0.75,0.4782293178519594
11,p_run1,p1,1009.0,0.5555555555555556,0.38937268182551205,0.9811320754716981,1.0,0.75,0.4288824383164006
11,p_run1,p1,1009.0,0.556980056980057,0.3911062731817449,0.9811320754716981,0.9807692307692307,0.75,0.4288824383164006
11,p_run1,p1,1009.0,0.5512820512820513,0.38900983712304466,0.9811320754716981,0.9807692307692307,0.7307692307692307,0.42670537010159654
11,p_run1,p1,1009.0,0.5584045584045584,0.3917513304305757,0.9811320754716981,0.9807692307692307,0.75,0.4296081277213353
11,p_run1,p1,1002.0,0.5584045584045584,0.40340267698758264,0.9622641509433962,0.9807692307692307,0.7307692307692307,0.43686502177068215
11,p_run1,p1,1838.0,0.6168091168091169,0.4475890985324948,0.9622641509433962,1.0,0.7692307692307693,0.465166908563135
11,p_run1,p1,987.0,0.51994301994302,0.35337042412514114,0.9622641509433962,0.9807692307692307,0.7307692307692307,0.39622641509433965
11,p_run1,p1,1268.0,0.6196581196581197,0.469601677148847,0.9811320754716981,0.9230769230769231,0.7307692307692307,0.4862119013062409
11,p_run1,p1,1113.0,0.680911680911681,0.5038300274149331,0.9811320754716981,0.9807692307692307,0.7884615384615384,0.5036284470246735
11,p_run1,p1,1113.0,0.680911680911681,0.5054023544589582,0.9811320754716981,0.9807692307692307,0.8076923076923077,0.5065312046444121
